Distance,X,Y
0.057455991917861104,-1748.6762057179744,1220.7341593533683
10.231070120083327,-1688.0,1300.0
16.307236798412355,-1651.0,1347.0
18.44222222222222,-1637.9586716043143,1363.5364386826727
31.649920142429032,-1557.0,1466.0
36.90888888888888,-1524.516863796437,1506.6048079852285
47.17146150160526,-1461.0,1586.0
55.642222222222216,-1409.0896758305612,1652.3341711490843
66.1060235221826,-1346.0,1735.0
71.53111111111112,-1313.7802571462444,1778.1950960624642
84.37555555555555,-1238.5363770890945,1881.4853598627908
91.8328469464293,-1195.0,1942.0
98.36029243032938,-1157.0,1995.0
100.65333333333332,-1143.8499889842674,2013.2356215988361
114.83192720247958,-1061.0,2127.0
117.15333333333334,-1045.822905709842,2147.8437744268426
139.95787842846505,-885.0,2369.0
143.90888888888887,-861.3110080377597,2401.4594068280458
160.79777777777778,-779.207192249275,2513.3991530400644
175.5270751479647,-706.0,2615.0
182.3652705293622,-667.0,2670.0
184.67555555555555,-653.5860586076709,2688.981746963138
201.2254218997427,-559.0,2824.0
208.7088888888889,-520.8750622239568,2879.616107024411
227.10121417192605,-415.0,3038.0
229.44222222222223,-395.95337179314316,3066.6947441774805
243.35333333333335,-270.51291811409374,3256.0516098851676
246.22429782498014,-252.0,3284.0
267.0976639188949,-194.0,3370.0
278.1311111111111,-140.25408506705443,3446.5526791873444
293.1431135342,-43.0,3583.0
313.92948136711146,81.0,3749.0
316.26444444444445,95.22569219347025,3767.283548953601
327.75591347331255,167.0,3857.0
336.9977777777778,226.05491229194396,3927.1584077393354
348.48883607711304,302.0,4014.0
350.82000000000005,317.9304687148018,4031.974916193646
355.3933785487361,351.0,4068.0
367.95611111111117,468.66351310233745,4176.684639195632
387.8264567730367,665.0,4329.0
391.9191666666667,691.2077925055652,4346.509203869911
408.29615549116073,769.0,4386.0
408.9747222222222,772.7958952260901,4387.732631395591
425.8080555555556,891.9713004665532,4440.4744255097985
440.1549269126202,1072.0,4486.0
445.8080555555556,1171.2961117345221,4501.06623121362
451.7857529560037,1272.0,4514.0
468.98583333333335,1405.721903203011,4526.647589169069
483.0903196289639,1506.0,4520.0
488.65250000000003,1578.3176732260727,4515.356233902754
504.9858333333334,1823.4111525934472,4498.800267740329
505.96291935884364,1833.0,4498.0
525.4309776810142,1931.0,4484.0
527.6969444444445,1948.0905159586296,4481.419694596836
541.6016964100779,2092.0,4462.0
543.8636111111111,2115.5087773760065,4459.212625776743
562.5874369920937,2299.0,4443.0
572.8636111111111,2401.3468875572444,4439.441923543602
588.1685214899487,2556.0,4441.0
600.8458414116653,2682.0,4449.0
604.641388888889,2719.188285208923,4453.43702345031
607.1697977202904,2744.0,4457.0
620.4191666666667,2875.7331076133314,4483.5940794942335
624.512318137276,2916.0,4494.0
636.141388888889,3027.8371506075546,4528.501899474019
641.7870536318474,3081.0,4548.0
648.6747222222223,3145.0058441161345,4574.299471840672
663.6447252948924,3280.0,4641.0
677.6942615229777,3400.0,4715.0
679.7858333333334,3417.529659797863,4726.796408022985
691.6173561877083,3515.0,4797.0
708.5915695924773,3647.0,4907.0
710.6747222222223,3662.5893516335536,4921.101978086541
722.9858333333334,3752.769639772094,5006.903785747263
723.9769257374767,3760.0,5014.0
735.0747222222221,3840.8044533108387,5095.0977794521095
740.5346678355312,3879.0,5134.0
749.963611111111,3941.8469886572702,5198.162968284519
755.3452282249494,3985.0,5241.0
770.4191666666666,4144.148337372993,5393.268439554385
772.7886743927578,4165.0,5413.0
784.4747222222222,4231.408827862299,5475.31091092603
